Using device: cuda
Using 1 GPUs
Epoch 2/50 | Batch 590/847 | Loss: 2.2287 | LR: 3.46e-04
Epoch 2/50 | Batch 600/847 | Loss: 2.2255 | LR: 3.48e-04
Epoch 2/50 | Batch 610/847 | Loss: 2.2225 | LR: 3.51e-04
Epoch 2/50 | Batch 620/847 | Loss: 2.2197 | LR: 3.53e-04
Epoch 2/50 | Batch 630/847 | Loss: 2.2169 | LR: 3.55e-04
Epoch 2/50 | Batch 640/847 | Loss: 2.2140 | LR: 3.58e-04
Epoch 2/50 | Batch 650/847 | Loss: 2.2113 | LR: 3.60e-04
Epoch 2/50 | Batch 660/847 | Loss: 2.2088 | LR: 3.62e-04
Epoch 2/50 | Batch 670/847 | Loss: 2.2062 | LR: 3.65e-04
Epoch 2/50 | Batch 680/847 | Loss: 2.2037 | LR: 3.67e-04
Epoch 2/50 | Batch 690/847 | Loss: 2.2013 | LR: 3.69e-04
Epoch 2/50 | Batch 700/847 | Loss: 2.1990 | LR: 3.72e-04
Epoch 2/50 | Batch 710/847 | Loss: 2.1967 | LR: 3.74e-04
Epoch 2/50 | Batch 720/847 | Loss: 2.1944 | LR: 3.76e-04
Epoch 2/50 | Batch 730/847 | Loss: 2.1921 | LR: 3.79e-04
Epoch 2/50 | Batch 740/847 | Loss: 2.1898 | LR: 3.81e-04
Epoch 2/50 | Batch 750/847 | Loss: 2.1876 | LR: 3.83e-04
Epoch 2/50 | Batch 760/847 | Loss: 2.1855 | LR: 3.86e-04
Epoch 2/50 | Batch 770/847 | Loss: 2.1835 | LR: 3.88e-04
Epoch 2/50 | Batch 780/847 | Loss: 2.1816 | LR: 3.90e-04
Epoch 2/50 | Batch 790/847 | Loss: 2.1796 | LR: 3.93e-04
Epoch 2/50 | Batch 800/847 | Loss: 2.1778 | LR: 3.95e-04
Epoch 2/50 | Batch 810/847 | Loss: 2.1760 | LR: 3.97e-04
Epoch 2/50 | Batch 820/847 | Loss: 2.1740 | LR: 4.00e-04
Epoch 2/50 | Batch 830/847 | Loss: 2.1723 | LR: 4.02e-04
Epoch 2/50 | Batch 840/847 | Loss: 2.1706 | LR: 4.04e-04
New best model saved with loss: 2.1691
Epoch 3/50 | Batch 10/847 | Loss: 2.0248 | LR: 4.08e-04
Epoch 3/50 | Batch 20/847 | Loss: 2.0197 | LR: 4.11e-04
Epoch 3/50 | Batch 30/847 | Loss: 2.0224 | LR: 4.13e-04
Epoch 3/50 | Batch 40/847 | Loss: 2.0230 | LR: 4.15e-04
Epoch 3/50 | Batch 50/847 | Loss: 2.0223 | LR: 4.18e-04
Epoch 3/50 | Batch 60/847 | Loss: 2.0202 | LR: 4.20e-04
Epoch 3/50 | Batch 70/847 | Loss: 2.0193 | LR: 4.22e-04
Epoch 3/50 | Batch 80/847 | Loss: 2.0191 | LR: 4.25e-04
Epoch 3/50 | Batch 90/847 | Loss: 2.0172 | LR: 4.27e-04
Epoch 3/50 | Batch 100/847 | Loss: 2.0178 | LR: 4.29e-04
Epoch 3/50 | Batch 110/847 | Loss: 2.0139 | LR: 4.32e-04
Epoch 3/50 | Batch 120/847 | Loss: 2.0101 | LR: 4.34e-04
Epoch 3/50 | Batch 130/847 | Loss: 2.0076 | LR: 4.36e-04
Epoch 3/50 | Batch 140/847 | Loss: 2.0033 | LR: 4.39e-04
Epoch 3/50 | Batch 150/847 | Loss: 1.9999 | LR: 4.41e-04
Epoch 3/50 | Batch 160/847 | Loss: 1.9981 | LR: 4.43e-04
Epoch 3/50 | Batch 170/847 | Loss: 1.9951 | LR: 4.46e-04
Epoch 3/50 | Batch 180/847 | Loss: 1.9928 | LR: 4.48e-04
Epoch 3/50 | Batch 190/847 | Loss: 1.9902 | LR: 4.50e-04
Epoch 3/50 | Batch 200/847 | Loss: 1.9865 | LR: 4.53e-04
Epoch 3/50 | Batch 210/847 | Loss: 1.9845 | LR: 4.55e-04
Epoch 3/50 | Batch 220/847 | Loss: 1.9801 | LR: 4.57e-04
Epoch 3/50 | Batch 230/847 | Loss: 1.9769 | LR: 4.60e-04
